Butler County (Hamilton / Middletown),,,,,,,,
Data Type,Priority,Office Name,Address,Phone,Portal URL,FOIA / Email,Difficulty,Notes
Tax Sale / Sheriff Sale Auction,A,Butler County Sheriff - Sheriff Sales (via RealAuction),"705 Hanover St, Hamilton, OH 45011",(513) 785-1000,https://butler.sheriffsaleauction.ohio.gov/,—,Low,"Live site lists 'Tax Sale' + 'Non-Tax Sale' parcels w/ dates, opening bids, addresses. Scrapable. Detail at Clerk."
Tax Delinquency List,A,Butler County Auditor (publishes); Treasurer (collects),"Auditor 130 High St, 3rd Fl, Hamilton, OH 45011",Auditor (513) 887-3154; Treasurer (513) 887-3181,https://auditor.bcohio.gov/real_estate/real_estate_reports/index.php,Auditor@bcohio.gov,Low,"BEST FIND: direct downloadable Delinquent Tax List CSV (+ Owners CSV, Sales CSV, full tax-roll ZIP). No FOIA needed."
Code Violations / Enforcement,B,Hamilton Resident Svcs/Code; Middletown Code Enforcement,"Hamilton 345 High St; Middletown 1 Donham Plaza, 3rd Fl",Hamilton 311 / (513) 785-7480; Middletown (513) 425-7938,https://www.hamilton-oh.gov/myhamilton,Records request to each city,Medium-High,"Citizenserve/SeeClickFix = complaint intake, not downloadable lists. ORC 149.43 request per city. No countywide source."
Condemned / Unsafe / Demolition,B,Hamilton Building Dept; Middletown Building Inspections / Code,"Hamilton 345 High St, Ste 350; Middletown 1 Donham Plaza",Hamilton Bldg (513) 785-7366; Middletown (513) 425-7973,https://www.hamilton-oh.gov/utilities,Records request to bldg dept,High,No public register online. Middletown keeps vacant-property registration (Ch. 1458). Request demo/condemnation list.
Mechanic's Liens,B,Butler County Recorder,"130 High St, 2nd Fl, Hamilton, OH 45011",(513) 887-3192,https://butler.oh.publicsearch.us/,Recorder contact page,Medium,"'Cloud Search' 1987-present, free index; image viewing has fees. No native bulk export - query by doc-type/date."
IRS / State Tax & Judgment Liens,B,Recorder (federal tax + mechanic's) + Clerk (state tax + judgment),"Recorder 130 High St; Clerk 315 High St, Hamilton",Recorder (513) 887-3192; Clerk (513) 887-3278,https://clerkservices.bcohio.gov/eservices/,Clerk Legal Div counter,Medium,SPLIT: Federal tax liens at Recorder; Ohio state tax + judgment liens at Clerk (Common Pleas judgment docket).
Utility Water/Electric Shut-off List,C,Hamilton Utilities (city owns water/electric/gas); Middletown water,Hamilton 345 High St,Hamilton Utility (513) 785-7100,https://www.hamilton-oh.gov/utilities,Records request to Utility Billing,High,No public shut-off list (Hamilton Code 927.07). ORC request; may be redacted. Hamilton full municipal utility = good signal.
Open / Expired Building Permits,C,Hamilton Building Dept (Cityworks PLL); Middletown Building,"Hamilton 345 High St, Ste 350; Middletown 1 Donham Plaza",Hamilton (513) 785-7366; Middletown (513) 425-7974,https://cityworks.hamilton-oh.gov/CustomerPortal/Building.html,Records request,Medium-High,"Per-permit lookup, no bulk export. Request expired/open roster from each city. County covers townships only."
Multiple-Eviction Landlords,C,Butler Co. Area Courts (townships) + Hamilton & Middletown Muni Courts,Area Courts; Hamilton Muni; Middletown Muni 1 Donham Plaza,Area I (513) 523-4748; Hamilton Muni (513) 868-5870; Middletown (513) 425-7846,https://docket.bcohio.gov/,Per-court records request,Medium-High,Evictions in municipal/area courts NOT Clerk of Courts. Must search all three systems. Scrape FED by plaintiff.
Medicaid Recovery Liens,C,Filed at Butler County Recorder; originated by Ohio AG (MER),"Recorder 130 High St, 2nd Fl, Hamilton 45011",Recorder (513) 887-3192; OAG (614) 466-4986,https://butler.oh.publicsearch.us/,OAG / Recorder request,Medium-High,ORC 5162.211 lien certificates filed with Recorder. Filter recorded docs by type/name. Correlates with probate.
