Greene County (Xenia / Beavercreek / Fairborn),,,,,,,,
Data Type,Priority,Office Name,Address,Phone,Portal URL,FOIA / Email,Difficulty,Notes
Tax Sale / Tax Foreclosure list,A,Greene County Treasurer - Delinquent Tax Division,"15 Greene St, Xenia, OH 45385",Treasurer (937) 562-5207; Delinq. Div (937) 562-5672,https://www.greenecountyohio.gov/507/Foreclosures,greenecountyoh.nextrequest.com,Medium,No standing online auction list; become Sheriff sales. Volume surged ~20 to ~200 cases/yr. Call Delinquent Tax Div.
Tax Delinquency list,A,Greene County Auditor (+ Treasurer search app),"Auditor 69 Greene St, Xenia, OH 45385",Auditor (937) 562-5065; Treasurer Delinq (937) 562-5672,https://auditor.greenecountyohio.gov/Search/,greenecountyoh.nextrequest.com,Low,"Best FTM source. Delinquent Tax Search lists/downloads full list, ~weekly refresh. Easiest bulk grab. URL updated 2026-06-16: original www.greeneauditor.org no longer resolves; live probe found replacement at auditor.greenecountyohio.gov behind Azure WAF (not Cloudflare) — adapter will need Playwright transport when implemented."
Code Violations (Beavercreek),B,City of Beavercreek - Code Enforcement (SmartGov portal),"1368 Research Park Dr, Beavercreek, OH 45432",(937) 427-5512,https://ci-beavercreek-oh.smartgovcommunity.com/CodeEnforcement/CodeEnforcementHome,City clerk request,Low-Medium,Beavercreek runs SmartGov public portal - searchable case data online. Best of 3 cities. NOTE: City != Township.
Code Violations (Xenia / Fairborn),B,Xenia Code Enforcement; Fairborn Property Maintenance,Xenia 107 E Main St; Fairborn 44 W Hebble Ave,Xenia (937) 376-7232; Fairborn (937) 754-3010,https://www.cityofxenia.org/193/Code-Enforcement,Xenia records (937) 376-7204,Medium,No public bulk export for Xenia/Fairborn; request case/fine lists via city records request.
Condemned / Unsafe Structures,B,City code enforcement + Greene County Public Health (nuisance/demo),Xenia 107 E Main St; GCPH,Xenia (937) 376-7232,https://greenecophoh.gov/environmental-health/nuisance-abatement-demolition,County FOIA / GCPH,High,No standing register. Xenia repealed Vacant Bldg Registration in 2022. Request orders per city; GCPH handles demo.
Mechanic's Liens,B,Greene County Recorder,"69 Greene St, 3rd Fl, Xenia, OH 45385",(937) 562-5270,https://greene.oh.publicsearch.us,greenecountyoh.nextrequest.com,Low-Medium,"Official Record Search since 1984; index free, images may have fees. Filter by doc type. No confirmed bulk download."
IRS / State Tax & Judgment Liens,B,Recorder (tax liens) + Clerk of Courts (judgment liens),"Recorder 69 Greene St; Clerk 45 N Detroit St, Xenia",Recorder (937) 562-5270,https://www.greenecountyohio.gov/394/Clerk-of-Courts,greenecountyoh.nextrequest.com,Medium,Tax liens at Recorder; judgment liens docketed at Common Pleas Clerk. Two offices = two pulls.
Utility Water Shut-off list,C,City of Xenia - Utility Billing Division,"107 E Main St, Xenia, OH 45385",(937) 376-7242,https://www.cityofxenia.org/206/Utility-Billing-Division,City records request,High,Internal disconnect list exists (30-day past-due -> notice). Not published; request via FOIA. Xenia only.
Open / Expired Building Permits,C,Xenia 'One Stop Shop'; Greene Co. Building Regulation (unincorp.),Xenia 107 E Main St,Xenia Bldg (937) 372-6389,https://www.cityofxenia.org/195/Xenia-Permits,City/county request,Medium,Xenia in-house permitting app. No confirmed public status search; request open/expired list.
Multiple-Eviction Landlords,C,Xenia Municipal Court + Fairborn Municipal Court,Xenia 101 N Detroit St; Fairborn 1148 Kauffman Ave,Xenia (937) 376-7290; Fairborn (937) 754-3040,https://eaccess.ci.xenia.oh.us,Court records request,Low-Medium,"Both have public online case search. Search FED case type, aggregate by plaintiff. Two portals cover county."
Medicaid Recovery Liens,C,Greene County Recorder; Ohio AG / ODM Estate Recovery,"Recorder 69 Greene St, Xenia",Recorder (937) 562-5270,https://greene.oh.publicsearch.us,greenecountyoh.nextrequest.com,High,Primarily post-death estate claim via probate. Recorded liens limited. Marginal standalone source.
