Montgomery County (Dayton),,,,,,,,
Data Type,Priority,Office Name,Address,Phone,Portal URL,FOIA / Email,Difficulty,Notes
Tax Sale / Auction,A,Treasurer (tax lien cert. sale) + Sheriff online auction,"Treasurer: 451 W Third St, Dayton, OH 45422",Treasurer (937) 225-4010; Realauction (877) 361-7325,https://montgomery.sheriffsaleauction.ohio.gov,mcrecorder@mcohio.org,Medium,Treasurer sells liens in bundles to institutions; the PRE-SALE delinquent list is the lead source. Sheriff sales Fri 9am.
Tax Delinquency,A,Montgomery County Treasurer (+ Auditor data),"451 W Third St, Dayton, OH 45422",(937) 225-4010,https://www.mcohio.org/1521/Delinquent-List,via mcohio.org,Low-Medium,Delinquent List page. Online search parcel-by-parcel; bulk file likely needs records request. Strongest fresh list.
Code Violations / Enforcement,B,City of Dayton - Division of Housing Inspection,"371 W Second St, Dayton, OH 45402",(937) 333-3977,https://www.daytonohio.gov/221/Housing-Inspection,Records request via City Clerk,Medium-High,No bulk-export portal. Kettering & Trotwood handle own enforcement separately.
Condemned / Nuisance / Demolition,B,City of Dayton - Housing Inspection (Structural Nuisance Database),"371 W Second St, Dayton, OH 45402",(937) 333-3977,https://www.daytonohio.gov/328/Use-Nuisance-List,Records request,Medium-High,"Dayton keeps Structural Nuisance Database (~2,100+ props). Not one-click; request the database."
Mechanic's Liens,B,Montgomery County Recorder,"451 W Third St, Dayton, OH 45422-1387",(937) 225-4275,https://riss.mcrecorder.org/,mcrecorder@mcohio.org,Low-Medium,Free RISS search by name/doc-type/municipality. Record-by-record; ask about bulk feed.
IRS / State Tax & Judgment Liens,B,Recorder (IRS) + Clerk of Courts (state tax + judgment),"Recorder 451 W Third St; Clerk 41 N Perry St, Dayton 45422",Recorder (937) 225-4275; Clerk Civil (937) 225-4512,https://www.mcclerkofcourts.org/,mcrecorder@mcohio.org,Low-Medium,SPLIT: IRS liens at Recorder; Ohio state tax + judgment liens at Clerk of Courts.
Utility Water Shut-offs,C,City of Dayton - Water/Utility Customer Service,"101 W Third St, Dayton, OH 45402",(937) 333-3550,https://www.daytonohio.gov/292/Water-Utility-Customer-Service-Billing,Records request,High,"Dayton shuts off ~20,000+ accounts/yr but no public list. Records request; may be restricted."
Open / Expired Building Permits,C,Dayton Building Services; County Building Regs (unincorp.),Dayton 371 W Second St,Dayton (937) 333-3883; County (937) 225-4622,https://www.daytonohio.gov/201/Online-Permit-System,Records request,Medium,Dayton online permit status query. Bulk extracts not self-serve. Suburbs issue own permits.
Multiple-Eviction Landlords,C,"Dayton Municipal Court - Clerk, Civil Division","301 W Third St, Dayton, OH 45422",(937) 333-4300,https://clerkofcourt.daytonohio.gov/PA/TCSearch-CaseNo.cfm,Records request,Medium-High,FED cases; aggregate by plaintiff for repeat filers. Covers Dayton city + some townships only.
Medicaid Recovery Liens,C,Ohio AG Collections (program); filed at Montgomery Recorder,"Recorder 451 W Third St, Dayton",AGO (614) 466-4986; Recorder (937) 225-4275,https://riss.mcrecorder.org/,mcrecorder@mcohio.org,Medium,Estate-recovery liens filed at Recorder (RISS). Overlaps heavily with probate.
